,Unnamed: 0,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL,codingWeekStartDay
0,0,2019-12-29-2020-01-05,UC4SUWizzKc1tptprBkWjX2Q,2LtA0-qoHOg,"Mystery illness outbreak in Wuhan, China",2020-01-04 12:39:45+00:00,3377056.0,50975.0,2670.0,23141.0,123,South China Morning Post,2630000.0,HK,https://www.youtube.com/watch?v=2LtA0-qoHOg,2019-12-29
1,1,2019-12-29-2020-01-05,UC83jt4dlz1Gjl58fzQrrKZg,oVMxoBNYASw,Chinese authorities working to identify virus behind pneumonia outbreak in Wuhan,2020-01-03 15:30:23+00:00,111652.0,456.0,61.0,240.0,53,CNA,1620000.0,SG,https://www.youtube.com/watch?v=oVMxoBNYASw,2019-12-29
2,2,2019-12-29-2020-01-05,UCI-1Btv5oF7n5sHD19glQuw,svsPsWq1qcc,EVOX World&#39;s First Oxygen Concentrator|Battery Backup|5LPM@95%Purity|Covid |Corona| Oxygen Therapy,2019-12-31 12:22:48+00:00,13671.0,173.0,10.0,49.0,85,EVOX HEALTHCARE,980.0,IN,https://www.youtube.com/watch?v=svsPsWq1qcc,2019-12-29
0,0,2020-01-05-2020-01-12,UC4SUWizzKc1tptprBkWjX2Q,5KJUcKV9q50,China identifies new coronavirus behind Wuhan pneumonia outbreak,2020-01-09 08:20:52+00:00,679398.0,2615.0,302.0,811.0,67,South China Morning Post,2630000.0,HK,https://www.youtube.com/watch?v=5KJUcKV9q50,2020-01-05
1,1,2020-01-05-2020-01-12,UC83jt4dlz1Gjl58fzQrrKZg,VbrXBTJUESw,China says pneumonia outbreak due to new type of coronavirus,2020-01-09 12:36:27+00:00,84737.0,455.0,26.0,310.0,150,CNA,1620000.0,SG,https://www.youtube.com/watch?v=VbrXBTJUESw,2020-01-05
2,2,2020-01-05-2020-01-12,UChirEOpgFCupRAk5etXqPaA,yHZU58UbUVA,How China's Mystery Pneumonia Illness is Different From SARS,2020-01-10 09:21:15+00:00,64157.0,386.0,67.0,280.0,69,Bloomberg Quicktake: Now,1040000.0,US,https://www.youtube.com/watch?v=yHZU58UbUVA,2020-01-05
3,3,2020-01-05-2020-01-12,UC83jt4dlz1Gjl58fzQrrKZg,jggndUgvhrk,Pneumonia cases in China&#39;s Wuhan could be due to new type of virus: WHO,2020-01-09 07:34:48+00:00,44832.0,357.0,17.0,265.0,336,CNA,1620000.0,SG,https://www.youtube.com/watch?v=jggndUgvhrk,2020-01-05
0,0,2020-01-12-2020-01-19,UC07-dOwgza1IguKA86jqxNA,OZcRD9fV7jo,WHO: Coronavirus - questions and answers (Q&amp;A),2020-01-16 14:54:37+00:00,1488196.0,1966.0,420.0,366.0,82,World Health Organization (WHO),774000.0,Unknown,https://www.youtube.com/watch?v=OZcRD9fV7jo,2020-01-12
1,1,2020-01-12-2020-01-19,UCckz6n8QccTd6K_xdwKqa0A,p6wb37RbYk0,Qu&#39;est-ce qu&#39;un coronavirus ? | AFP Anime,2020-01-16 11:22:49+00:00,1291101.0,6506.0,680.0,1072.0,93,AFP,994000.0,Unknown,https://www.youtube.com/watch?v=p6wb37RbYk0,2020-01-12
2,2,2020-01-12-2020-01-19,UCPgLNge0xqQHWM5B5EFH9Cg,XDVP4vbeikk,Could this coronavirus be Disease X? Everything you need to know about the mystery virus in China,2020-01-18 09:09:02+00:00,588921.0,4722.0,595.0,,140,The Telegraph,2370000.0,GB,https://www.youtube.com/watch?v=XDVP4vbeikk,2020-01-12
3,3,2020-01-12-2020-01-19,UC4SUWizzKc1tptprBkWjX2Q,Epo99jpxcQo,Wuhan outbreak: Thailand confirms first case of virus outside China,2020-01-15 07:56:14+00:00,374429.0,2468.0,114.0,955.0,110,South China Morning Post,2630000.0,HK,https://www.youtube.com/watch?v=Epo99jpxcQo,2020-01-12
4,4,2020-01-12-2020-01-19,UCknLrEdhRCp1aegoMqRaCZg,ILOexFpPvX8,Deadly coronavirus from Wuhan China has global health officials on alert | DW News,2020-01-18 17:17:39+00:00,165084.0,1412.0,79.0,505.0,334,DW News,2960000.0,DE,https://www.youtube.com/watch?v=ILOexFpPvX8,2020-01-12
5,5,2020-01-12-2020-01-19,UCKjU3KzdbJE1EFcHVqXC3_g,5CAxAE7YcFY,SARS-like virus spreads outside China,2020-01-17 03:17:14+00:00,96215.0,597.0,84.0,,120,CBC News: The National,1220000.0,CA,https://www.youtube.com/watch?v=5CAxAE7YcFY,2020-01-12
6,6,2020-01-12-2020-01-19,UC83jt4dlz1Gjl58fzQrrKZg,K2m5Bx1b_C8,Thailand confirms second case of Wuhan coronavirus,2020-01-17 15:52:53+00:00,33671.0,156.0,8.0,99.0,194,CNA,1620000.0,SG,https://www.youtube.com/watch?v=K2m5Bx1b_C8,2020-01-12
7,7,2020-01-12-2020-01-19,UC83jt4dlz1Gjl58fzQrrKZg,7mNr1K9O1CQ,Thailand reports first case of Wuhan coronavirus outside China,2020-01-13 13:43:27+00:00,25442.0,102.0,5.0,38.0,40,CNA,1620000.0,SG,https://www.youtube.com/watch?v=7mNr1K9O1CQ,2020-01-12
8,8,2020-01-12-2020-01-19,UChirEOpgFCupRAk5etXqPaA,pumlv6EZRfE,"Japan Confirms First Case of Coronavirus From Wuhan, China",2020-01-16 08:57:14+00:00,17867.0,110.0,6.0,54.0,54,Bloomberg Quicktake: Now,1040000.0,US,https://www.youtube.com/watch?v=pumlv6EZRfE,2020-01-12
0,0,2020-01-19-2020-01-26,UCl8wUKzoUVzg7U6ky1ZR8hQ,8pCvN81jHos,"China meN kaise phailaa Dangerous Coronavirus, jiskaa khtraa India, America &amp; Saudi Arab tk phuNc gyaa hai",2020-01-25 12:30:00+00:00,14770986.0,243369.0,12728.0,13864.0,392,Navbharat Times नवभारत टाइम्स,4020000.0,IN,https://www.youtube.com/watch?v=8pCvN81jHos,2020-01-19
1,1,2020-01-19-2020-01-26,UC_lEiu6917IJz03TnntWUaQ,yyEbH4OYYIg,Coronavirus de Wuhan: repulsivas imagenes del mercado donde se origino el brote y la alerta mundial,2020-01-23 07:02:30+00:00,10268102.0,108183.0,7504.0,21157.0,1480,CNN en Español,2730000.0,US,https://www.youtube.com/watch?v=yyEbH4OYYIg,2020-01-19
2,2,2020-01-19-2020-01-26,UCIRYBXDze5krPDzAEOxFGVA,aerq4byr7ps,What is the coronavirus?,2020-01-23 15:49:21+00:00,9756905.0,175216.0,4664.0,16991.0,221,Guardian News,2020000.0,GB,https://www.youtube.com/watch?v=aerq4byr7ps,2020-01-19
3,3,2020-01-19-2020-01-26,UCupvZG-5ko_eiXAupbDfxWw,GEARtTBHXEw,See where officials believe the coronavirus started,2020-01-21 02:47:47+00:00,4657761.0,44635.0,3197.0,23193.0,451,CNN,13000000.0,Unknown,https://www.youtube.com/watch?v=GEARtTBHXEw,2020-01-19
4,4,2020-01-19-2020-01-26,UCobOFolL7EvKQeOOoI5p98w,KqasQyatfBQ,La Cumbia del Coronavirus - Mister Cumbia,2020-01-22 21:31:36+00:00,3530708.0,63866.0,2903.0,4341.0,220,MISTER CUMBIA,91900.0,MX,https://www.youtube.com/watch?v=KqasQyatfBQ,2020-01-19
5,5,2020-01-19-2020-01-26,UCuFFtHWoLl5fauMMD5Ww2jA,cmgPVhubmQA,"China building 1,000-bed hospital in 5 days to treat coronavirus",2020-01-24 13:31:14+00:00,3008024.0,15406.0,1334.0,4061.0,383,CBC News,2830000.0,CA,https://www.youtube.com/watch?v=cmgPVhubmQA,2020-01-19
6,6,2020-01-19-2020-01-26,UC4SUWizzKc1tptprBkWjX2Q,CfcIHUdOI8w,China coronavirus: a look inside the sealed off city of Wuhan,2020-01-24 07:16:13+00:00,2849270.0,13231.0,676.0,3990.0,141,South China Morning Post,2630000.0,HK,https://www.youtube.com/watch?v=CfcIHUdOI8w,2020-01-19
7,7,2020-01-19-2020-01-26,UCl-J-ovSJhA3or73Q2uVpow,UubQNkK0wy0,Novel Coronavirus (2019 nCoV  Outbreak ) [Update # 1] COVID-19,2020-01-24 09:27:53+00:00,2407494.0,26034.0,1584.0,4222.0,818,Medicosis Perfectionalis,527000.0,US,https://www.youtube.com/watch?v=UubQNkK0wy0,2020-01-19
8,8,2020-01-19-2020-01-26,UC4SUWizzKc1tptprBkWjX2Q,f7llqJcvkxM,Chinese hospital staff in Wuhan face fears amid frontline battle against coronavirus outbreak,2020-01-23 11:08:35+00:00,2043755.0,11636.0,629.0,1814.0,131,South China Morning Post,2630000.0,HK,https://www.youtube.com/watch?v=f7llqJcvkxM,2020-01-19
9,9,2020-01-19-2020-01-26,UChirEOpgFCupRAk5etXqPaA,qO8QWq1K1_c,What Is Coronavirus?,2020-01-22 01:51:06+00:00,1673513.0,22426.0,1027.0,3861.0,137,Bloomberg Quicktake: Now,1040000.0,US,https://www.youtube.com/watch?v=qO8QWq1K1_c,2020-01-19
10,10,2020-01-19-2020-01-26,UCknLrEdhRCp1aegoMqRaCZg,qFkyqt0rKms,Coronavirus spreads to Europe and Australia | DW News,2020-01-25 10:11:02+00:00,1668278.0,19540.0,663.0,6830.0,388,DW News,2960000.0,DE,https://www.youtube.com/watch?v=qFkyqt0rKms,2020-01-19
