X1,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL,codingWeekStartDay
0,2019-12-29-2020-01-05,UC4SUWizzKc1tptprBkWjX2Q,2LtA0-qoHOg,"Mystery illness outbreak in Wuhan, China",2020-01-04T12:39:45Z,3377056,50975,2670,23141,123,South China Morning Post,2630000,HK,https://www.youtube.com/watch?v=2LtA0-qoHOg,2019-12-29
1,2019-12-29-2020-01-05,UC83jt4dlz1Gjl58fzQrrKZg,oVMxoBNYASw,Chinese authorities working to identify virus behind pneumonia outbreak in Wuhan,2020-01-03T15:30:23Z,111652,456,61,240,53,CNA,1620000,SG,https://www.youtube.com/watch?v=oVMxoBNYASw,2019-12-29
2,2019-12-29-2020-01-05,UCI-1Btv5oF7n5sHD19glQuw,svsPsWq1qcc,EVOX World&#39;s First Oxygen Concentrator|Battery Backup|5LPM@95%Purity|Covid |Corona| Oxygen Therapy,2019-12-31T12:22:48Z,13671,173,10,49,85,EVOX HEALTHCARE,980,IN,https://www.youtube.com/watch?v=svsPsWq1qcc,2019-12-29
0,2019-12-29-2020-01-05,UC4SUWizzKc1tptprBkWjX2Q,2LtA0-qoHOg,"Mystery illness outbreak in Wuhan, China",2020-01-04T12:39:45Z,3377056,50975,2670,23141,123,South China Morning Post,2630000,HK,https://www.youtube.com/watch?v=2LtA0-qoHOg,2019-12-29
1,2019-12-29-2020-01-05,UC83jt4dlz1Gjl58fzQrrKZg,oVMxoBNYASw,Chinese authorities working to identify virus behind pneumonia outbreak in Wuhan,2020-01-03T15:30:23Z,111652,456,61,240,53,CNA,1620000,SG,https://www.youtube.com/watch?v=oVMxoBNYASw,2019-12-29
2,2019-12-29-2020-01-05,UCI-1Btv5oF7n5sHD19glQuw,svsPsWq1qcc,EVOX World&#39;s First Oxygen Concentrator|Battery Backup|5LPM@95%Purity|Covid |Corona| Oxygen Therapy,2019-12-31T12:22:48Z,13671,173,10,49,85,EVOX HEALTHCARE,980,IN,https://www.youtube.com/watch?v=svsPsWq1qcc,2019-12-29
0,2020-01-05-2020-01-12,UC4SUWizzKc1tptprBkWjX2Q,5KJUcKV9q50,China identifies new coronavirus behind Wuhan pneumonia outbreak,2020-01-09T08:20:52Z,679398,2615,302,811,67,South China Morning Post,2630000,HK,https://www.youtube.com/watch?v=5KJUcKV9q50,2020-01-05
1,2020-01-05-2020-01-12,UC83jt4dlz1Gjl58fzQrrKZg,VbrXBTJUESw,China says pneumonia outbreak due to new type of coronavirus,2020-01-09T12:36:27Z,84737,455,26,310,150,CNA,1620000,SG,https://www.youtube.com/watch?v=VbrXBTJUESw,2020-01-05
2,2020-01-05-2020-01-12,UChirEOpgFCupRAk5etXqPaA,yHZU58UbUVA,How China's Mystery Pneumonia Illness is Different From SARS,2020-01-10T09:21:15Z,64157,386,67,280,69,Bloomberg Quicktake: Now,1040000,US,https://www.youtube.com/watch?v=yHZU58UbUVA,2020-01-05
3,2020-01-05-2020-01-12,UC83jt4dlz1Gjl58fzQrrKZg,jggndUgvhrk,Pneumonia cases in China&#39;s Wuhan could be due to new type of virus: WHO,2020-01-09T07:34:48Z,44832,357,17,265,336,CNA,1620000,SG,https://www.youtube.com/watch?v=jggndUgvhrk,2020-01-05
0,2020-01-12-2020-01-19,UC07-dOwgza1IguKA86jqxNA,OZcRD9fV7jo,WHO: Coronavirus - questions and answers (Q&amp;A),2020-01-16T14:54:37Z,1488196,1966,420,366,82,World Health Organization (WHO),774000,Unknown,https://www.youtube.com/watch?v=OZcRD9fV7jo,2020-01-12
1,2020-01-12-2020-01-19,UCckz6n8QccTd6K_xdwKqa0A,p6wb37RbYk0,Qu&#39;est-ce qu&#39;un coronavirus ? | AFP Anime,2020-01-16T11:22:49Z,1291101,6506,680,1072,93,AFP,994000,Unknown,https://www.youtube.com/watch?v=p6wb37RbYk0,2020-01-12
2,2020-01-12-2020-01-19,UCPgLNge0xqQHWM5B5EFH9Cg,XDVP4vbeikk,Could this coronavirus be Disease X? Everything you need to know about the mystery virus in China,2020-01-18T09:09:02Z,588921,4722,595,N/A,140,The Telegraph,2370000,GB,https://www.youtube.com/watch?v=XDVP4vbeikk,2020-01-12
3,2020-01-12-2020-01-19,UC4SUWizzKc1tptprBkWjX2Q,Epo99jpxcQo,Wuhan outbreak: Thailand confirms first case of virus outside China,2020-01-15T07:56:14Z,374429,2468,114,955,110,South China Morning Post,2630000,HK,https://www.youtube.com/watch?v=Epo99jpxcQo,2020-01-12
4,2020-01-12-2020-01-19,UCknLrEdhRCp1aegoMqRaCZg,ILOexFpPvX8,Deadly coronavirus from Wuhan China has global health officials on alert | DW News,2020-01-18T17:17:39Z,165084,1412,79,505,334,DW News,2960000,DE,https://www.youtube.com/watch?v=ILOexFpPvX8,2020-01-12
5,2020-01-12-2020-01-19,UCKjU3KzdbJE1EFcHVqXC3_g,5CAxAE7YcFY,SARS-like virus spreads outside China,2020-01-17T03:17:14Z,96215,597,84,N/A,120,CBC News: The National,1220000,CA,https://www.youtube.com/watch?v=5CAxAE7YcFY,2020-01-12
6,2020-01-12-2020-01-19,UC83jt4dlz1Gjl58fzQrrKZg,K2m5Bx1b_C8,Thailand confirms second case of Wuhan coronavirus,2020-01-17T15:52:53Z,33671,156,8,99,194,CNA,1620000,SG,https://www.youtube.com/watch?v=K2m5Bx1b_C8,2020-01-12
7,2020-01-12-2020-01-19,UC83jt4dlz1Gjl58fzQrrKZg,7mNr1K9O1CQ,Thailand reports first case of Wuhan coronavirus outside China,2020-01-13T13:43:27Z,25442,102,5,38,40,CNA,1620000,SG,https://www.youtube.com/watch?v=7mNr1K9O1CQ,2020-01-12
8,2020-01-12-2020-01-19,UChirEOpgFCupRAk5etXqPaA,pumlv6EZRfE,"Japan Confirms First Case of Coronavirus From Wuhan, China",2020-01-16T08:57:14Z,17867,110,6,54,54,Bloomberg Quicktake: Now,1040000,US,https://www.youtube.com/watch?v=pumlv6EZRfE,2020-01-12
0,2020-01-19-2020-01-26,UCl8wUKzoUVzg7U6ky1ZR8hQ,8pCvN81jHos,"China meN kaise phailaa Dangerous Coronavirus, jiskaa khtraa India, America &amp; Saudi Arab tk phuNc gyaa hai",2020-01-25T12:30:00Z,14770986,243369,12728,13864,392,Navbharat Times नवभारत टाइम्स,4020000,IN,https://www.youtube.com/watch?v=8pCvN81jHos,2020-01-19
1,2020-01-19-2020-01-26,UC_lEiu6917IJz03TnntWUaQ,yyEbH4OYYIg,Coronavirus de Wuhan: repulsivas imagenes del mercado donde se origino el brote y la alerta mundial,2020-01-23T07:02:30Z,10268102,108183,7504,21157,1480,CNN en Español,2730000,US,https://www.youtube.com/watch?v=yyEbH4OYYIg,2020-01-19
2,2020-01-19-2020-01-26,UCIRYBXDze5krPDzAEOxFGVA,aerq4byr7ps,What is the coronavirus?,2020-01-23T15:49:21Z,9756905,175216,4664,16991,221,Guardian News,2020000,GB,https://www.youtube.com/watch?v=aerq4byr7ps,2020-01-19
