,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL
0,2020-04-19-2020-05-17,UCiMg06DjcUk5FRiM3g5sqoQ,PQxOc13DxvQ,Demonstration of Doffing (Taking Off) Personal Protective Equipment (PPE),2020-04-21T16:49:25Z,414650,1287,90,0,207.0,Centers for Disease Control and Prevention (CDC),482000,US,https://www.youtube.com/watch?v=PQxOc13DxvQ
1,2020-04-19-2020-05-17,UCiMg06DjcUk5FRiM3g5sqoQ,9pVy8sRC440,How COVID-19 Can Spread in a Community,2020-05-06T17:34:11Z,324225,1844,143,2,157.0,Centers for Disease Control and Prevention (CDC),482000,US,https://www.youtube.com/watch?v=9pVy8sRC440
2,2020-04-19-2020-05-17,UCiMg06DjcUk5FRiM3g5sqoQ,YYTATw9yav4,CDC COVID-19 Prevention Messages for Front Line Long-Term Care Staff: PPE Lessons,2020-04-27T17:50:38Z,214272,524,54,0,722.0,Centers for Disease Control and Prevention (CDC),482000,US,https://www.youtube.com/watch?v=YYTATw9yav4
3,2020-04-19-2020-05-17,UCiMg06DjcUk5FRiM3g5sqoQ,7srwrF9MGdw,CDC COVID-19 Prevention Messages for Front Line Long-Term Care Staff: Keep COVID-19 Out!,2020-04-27T17:51:09Z,138362,256,25,0,365.0,Centers for Disease Control and Prevention (CDC),482000,US,https://www.youtube.com/watch?v=7srwrF9MGdw
4,2020-04-19-2020-05-17,UCiMg06DjcUk5FRiM3g5sqoQ,t7OH8ORr5Ig,LTC Mini Webinar: Sparkling Surfaces: Stop COVID-19's Spread,2020-04-28T17:56:01Z,124010,272,27,0,430.0,Centers for Disease Control and Prevention (CDC),482000,US,https://www.youtube.com/watch?v=t7OH8ORr5Ig
5,2020-04-19-2020-05-17,UCiMg06DjcUk5FRiM3g5sqoQ,1ZbT1Njv6xA,CDC COVID-19 Prevention Messages for Front Line LTC Staff: Closely Monitor Residents for COVID-19,2020-04-27T17:51:51Z,122458,164,27,0,437.0,Centers for Disease Control and Prevention (CDC),482000,US,https://www.youtube.com/watch?v=1ZbT1Njv6xA
6,2020-04-19-2020-05-17,UCiMg06DjcUk5FRiM3g5sqoQ,GDDDz89EhSU,COVID-19: Social Distancing,2020-04-22T15:08:43Z,119559,206,61,0,35.0,Centers for Disease Control and Prevention (CDC),482000,US,https://www.youtube.com/watch?v=GDDDz89EhSU
7,2020-04-19-2020-05-17,UCiMg06DjcUk5FRiM3g5sqoQ,xmYMUly7qiE,CDC COVID-19 Prevention Messages for Front Line Long-Term Care Staff: Clean Hands - Combat COVID-19,2020-04-27T17:57:17Z,108831,174,20,0,445.0,Centers for Disease Control and Prevention (CDC),482000,US,https://www.youtube.com/watch?v=xmYMUly7qiE
8,2020-04-19-2020-05-17,UCiMg06DjcUk5FRiM3g5sqoQ,BTx1vELv7zU,COVID-19: Managing Anxiety and Stress,2020-04-20T16:29:08Z,79212,469,42,0,136.0,Centers for Disease Control and Prevention (CDC),482000,US,https://www.youtube.com/watch?v=BTx1vELv7zU
9,2020-04-19-2020-05-17,UCiMg06DjcUk5FRiM3g5sqoQ,qb7shu_sdQ0,COVID-19: Are You at Higher Risk for Severe Illness?,2020-05-05T20:32:03Z,65692,264,68,0,141.0,Centers for Disease Control and Prevention (CDC),482000,US,https://www.youtube.com/watch?v=qb7shu_sdQ0
