,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL
9,2019-12-01-2020-08-30,UCATNzbTbfeoMhNonZGZmrhA,sHP0UIdZyI4,What Is Coronavirus (COVID-19)?,2020-02-19T17:18:11Z,1760325,9333,1021,646,271.0,Johns Hopkins Medicine,199000,US,https://www.youtube.com/watch?v=sHP0UIdZyI4
18,2019-12-01-2020-08-30,UCATNzbTbfeoMhNonZGZmrhA,PsUQINB082o,Developing a New Coronavirus Vaccine | Johns Hopkins Medicine,2020-03-24T22:29:10Z,299839,2564,168,247,154.0,Johns Hopkins Medicine,199000,US,https://www.youtube.com/watch?v=PsUQINB082o
23,2019-12-01-2020-08-30,UCATNzbTbfeoMhNonZGZmrhA,9ZpNuhqB1Qo,New Coronavirus (Covid-19) Testing | Johns Hopkins Medicine,2020-03-15T16:52:09Z,114555,753,36,39,85.0,Johns Hopkins Medicine,199000,US,https://www.youtube.com/watch?v=9ZpNuhqB1Qo
27,2019-12-01-2020-08-30,UCATNzbTbfeoMhNonZGZmrhA,hH8_qPtz37k,Coronavirus (Covid-19): What do I do if I Feel Sick?,2020-03-16T21:28:10Z,70533,109,8,5,71.0,Johns Hopkins Medicine,199000,US,https://www.youtube.com/watch?v=hH8_qPtz37k
28,2019-12-01-2020-08-30,UCATNzbTbfeoMhNonZGZmrhA,GpsEqAr-UL4,Is coronavirus airborne?,2020-08-14T01:37:52Z,57527,394,428,386,110.0,Johns Hopkins Medicine,199000,US,https://www.youtube.com/watch?v=GpsEqAr-UL4
29,2019-12-01-2020-08-30,UCATNzbTbfeoMhNonZGZmrhA,r4i4avKYOrw,5 Tips Kids Need to Know about Covid-19,2020-05-27T18:02:40Z,45115,232,19,11,65.0,Johns Hopkins Medicine,199000,US,https://www.youtube.com/watch?v=r4i4avKYOrw
31,2019-12-01-2020-08-30,UCATNzbTbfeoMhNonZGZmrhA,5GTHJhfAcws,"Extraordinary People, Extraordinary Moments | Johns Hopkins Medicine",2020-04-15T15:40:04Z,24935,305,31,35,240.0,Johns Hopkins Medicine,199000,US,https://www.youtube.com/watch?v=5GTHJhfAcws
37,2019-12-01-2020-08-30,UCATNzbTbfeoMhNonZGZmrhA,kO37-P_--sw,COVID-19 Update | Thanks for All of Your Hard Work,2020-03-16T14:04:53Z,10048,104,4,7,151.0,Johns Hopkins Medicine,199000,US,https://www.youtube.com/watch?v=kO37-P_--sw
38,2019-12-01-2020-08-30,UCATNzbTbfeoMhNonZGZmrhA,r9o9CJF9rTI,COVID-19 Facts for Patients with Cardiovascular Disease,2020-05-15T15:57:30Z,9012,98,6,42,251.0,Johns Hopkins Medicine,199000,US,https://www.youtube.com/watch?v=r9o9CJF9rTI
40,2019-12-01-2020-08-30,UCATNzbTbfeoMhNonZGZmrhA,oCelMyMtRCk,How Coronaviruses Work,2020-07-22T13:55:57Z,7995,116,3,3,210.0,Johns Hopkins Medicine,199000,US,https://www.youtube.com/watch?v=oCelMyMtRCk
