,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL
0,2020-04-19-2020-05-17,UC07-dOwgza1IguKA86jqxNA,qHksVwOrpbE,How has WHO responded to COVID-19,2020-05-04T18:22:01Z,148874,1017,1001,658,326.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=qHksVwOrpbE
1,2020-04-19-2020-05-17,UC07-dOwgza1IguKA86jqxNA,zAnSkaPgviY,Wash Your Hands with Peppa Pig,2020-05-16T14:13:09Z,148111,772,244,0,31.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=zAnSkaPgviY
2,2020-04-19-2020-05-17,UC07-dOwgza1IguKA86jqxNA,YGJcbogfKSg,Live from WHO Headquarters - COVID-19 daily press briefing 22 April 2020,2020-04-22T17:21:18Z,134284,661,574,494,5109.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=YGJcbogfKSg
3,2020-04-19-2020-05-17,UC07-dOwgza1IguKA86jqxNA,obuN4gPO97o,Live from WHO Headquarters - COVID-19 daily press briefing 20 April 2020,2020-04-20T17:12:21Z,93450,842,764,559,5312.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=obuN4gPO97o
4,2020-04-19-2020-05-17,UC07-dOwgza1IguKA86jqxNA,8dlUqlMDkR4,Preventing COVID-19 in your workplace or while teleworking,2020-04-28T13:54:20Z,84775,607,201,106,149.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=8dlUqlMDkR4
5,2020-04-19-2020-05-17,UC07-dOwgza1IguKA86jqxNA,1WzglJtMRuo,Live from WHO Headquarters - COVID-19 daily press briefing 08 May 2020,2020-05-08T16:18:46Z,50590,321,264,183,3523.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=1WzglJtMRuo
6,2020-04-19-2020-05-17,UC07-dOwgza1IguKA86jqxNA,mqAifiM7FJo,Live from WHO Headquarters - COVID-19 daily press briefing 27 April 2020,2020-04-29T17:18:01Z,35932,458,402,386,3833.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=mqAifiM7FJo
7,2020-04-19-2020-05-17,UC07-dOwgza1IguKA86jqxNA,YJheomPlqAQ,Live from WHO Headquarters - COVID-19 daily press briefing 27 April 2020,2020-04-27T16:21:11Z,35919,519,341,327,3332.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=YJheomPlqAQ
8,2020-04-19-2020-05-17,UC07-dOwgza1IguKA86jqxNA,v39Re7kzOpQ,Live from WHO Headquarters - COVID-19 daily press briefing 11 May 2020,2020-05-11T16:37:37Z,31555,381,251,181,3652.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=v39Re7kzOpQ
9,2020-04-19-2020-05-17,UC07-dOwgza1IguKA86jqxNA,zk-y4scDdBk,Live from WHO Headquarters - COVID-19 daily press briefing 01 May 2020,2020-05-01T17:28:40Z,29369,442,380,422,5005.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=zk-y4scDdBk
10,2020-04-19-2020-05-17,UC07-dOwgza1IguKA86jqxNA,isY3YxAHeZA,Live from WHO Headquarters - COVID-19 daily press briefing 06 May 2020,2020-05-06T16:52:31Z,28175,359,266,152,3731.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=isY3YxAHeZA
11,2020-04-19-2020-05-17,UC07-dOwgza1IguKA86jqxNA,LFCn0Gp_9aQ,Live from WHO Headquarters - COVID-19 daily press briefing 04 May 2020,2020-05-04T18:01:32Z,28138,434,287,224,3837.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=LFCn0Gp_9aQ
12,2020-04-19-2020-05-17,UC07-dOwgza1IguKA86jqxNA,70cB03pbxrA,Launch of the Access to COVID-19 Tools (ACT) accelerator,2020-04-24T14:36:43Z,26793,465,319,366,5024.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=70cB03pbxrA
13,2020-04-19-2020-05-17,UC07-dOwgza1IguKA86jqxNA,euLCb4sJ62A,Live from WHO Headquarters - COVID-19 daily press briefing 13 MAY 2020,2020-05-13T17:06:22Z,26066,413,243,196,4106.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=euLCb4sJ62A
14,2020-04-19-2020-05-17,UC07-dOwgza1IguKA86jqxNA,1V3AonONQ7g,Live from WHO Headquarters - COVID-19 daily press briefing 15 MAY 2020,2020-05-15T16:34:21Z,23739,410,318,223,4016.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=1V3AonONQ7g
15,2020-04-19-2020-05-17,UC07-dOwgza1IguKA86jqxNA,tlFJOx7jv-I,Dr Maria Van Kerkhove on human to human transmission from the press conference on the 13 April 2020,2020-04-21T15:35:28Z,23164,427,242,194,102.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=tlFJOx7jv-I
16,2020-04-19-2020-05-17,UC07-dOwgza1IguKA86jqxNA,Qg8sRsERlwU,The evolution of science and our role in preventing the spread of COVID-19,2020-05-13T05:13:39Z,17765,156,68,35,81.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=Qg8sRsERlwU
