,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL
0,2020-02-23-2020-03-22,UCiMg06DjcUk5FRiM3g5sqoQ,-nZMeNP84gM,Surgeon General Social Distancing (:30),2020-03-20T22:01:19Z,19001508,54174,14925,0,31.0,Centers for Disease Control and Prevention (CDC),482000,US,https://www.youtube.com/watch?v=-nZMeNP84gM
1,2020-02-23-2020-03-22,UCiMg06DjcUk5FRiM3g5sqoQ,9cfYC4YLsu4,"CDC Briefing Room: COVID-19 Update: March 14, 2020",2020-03-14T22:53:32Z,10729089,73479,10203,0,96.0,Centers for Disease Control and Prevention (CDC),482000,US,https://www.youtube.com/watch?v=9cfYC4YLsu4
2,2020-02-23-2020-03-22,UCiMg06DjcUk5FRiM3g5sqoQ,QNo5ZDvKuHg,CDC Briefing Room: COVID-19 Update and Risks,2020-03-09T23:35:00Z,6629291,97999,9003,21182,207.0,Centers for Disease Control and Prevention (CDC),482000,US,https://www.youtube.com/watch?v=QNo5ZDvKuHg
3,2020-02-23-2020-03-22,UCiMg06DjcUk5FRiM3g5sqoQ,qPoptbtBjkg,10 Things You Can Do to Manage COVID-19 at Home,2020-03-13T22:59:23Z,1949634,11712,1413,0,74.0,Centers for Disease Control and Prevention (CDC),482000,US,https://www.youtube.com/watch?v=qPoptbtBjkg
4,2020-02-23-2020-03-22,UCiMg06DjcUk5FRiM3g5sqoQ,r7qq0nWjbWQ,"CDC Briefing Room: COVID-19 Update; March 13, 2020",2020-03-13T22:58:45Z,1238383,11516,1459,0,73.0,Centers for Disease Control and Prevention (CDC),482000,US,https://www.youtube.com/watch?v=r7qq0nWjbWQ
5,2020-02-23-2020-03-22,UCiMg06DjcUk5FRiM3g5sqoQ,aGhPqyJp6qM,"CDC Partner Update on COVID-19: Private Sector - Mar 4, 2020",2020-03-05T19:31:45Z,437954,3312,471,592,1831.0,Centers for Disease Control and Prevention (CDC),482000,US,https://www.youtube.com/watch?v=aGhPqyJp6qM
6,2020-02-23-2020-03-22,UCiMg06DjcUk5FRiM3g5sqoQ,WfJSVbQtHsk,How does COVID-19 spread?,2020-03-20T21:42:28Z,344619,2084,183,0,52.0,Centers for Disease Control and Prevention (CDC),482000,US,https://www.youtube.com/watch?v=WfJSVbQtHsk
7,2020-02-23-2020-03-22,UCiMg06DjcUk5FRiM3g5sqoQ,wKX1PQTz5_M,Surgeon General Social Distancing (:60),2020-03-20T22:00:59Z,335365,2227,787,0,61.0,Centers for Disease Control and Prevention (CDC),482000,US,https://www.youtube.com/watch?v=wKX1PQTz5_M
8,2020-02-23-2020-03-22,UCiMg06DjcUk5FRiM3g5sqoQ,IN_GVlbyC4Y,Symptoms of Coronavirus 2019,2020-03-19T16:42:24Z,123235,369,100,0,71.0,Centers for Disease Control and Prevention (CDC),482000,US,https://www.youtube.com/watch?v=IN_GVlbyC4Y
9,2020-02-23-2020-03-22,UCiMg06DjcUk5FRiM3g5sqoQ,wkaMC2Fipgg,COVID-19 Prevention Tips in ASL,2020-03-19T16:42:51Z,84259,262,31,0,103.0,Centers for Disease Control and Prevention (CDC),482000,US,https://www.youtube.com/watch?v=wkaMC2Fipgg
