,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL
0,2019-12-01-2020-08-30,UCeohrwR6-fO1EMk8FkJrlzw,Pnk8DuAly9Y,Johns Hopkins Experts Brief Capitol Hill on Coronavirus (COVID-19),2020-03-06T20:42:07Z,1498826,5946,938,0,5348.0,Johns Hopkins University,32800,Unknown,https://www.youtube.com/watch?v=Pnk8DuAly9Y
1,2019-12-01-2020-08-30,UCeohrwR6-fO1EMk8FkJrlzw,cbd-oilmpdU,Novel Coronavirus Panel at the Johns Hopkins Bloomberg School of Public Health,2020-02-05T21:41:24Z,92049,613,104,0,1881.0,Johns Hopkins University,32800,Unknown,https://www.youtube.com/watch?v=cbd-oilmpdU
2,2019-12-01-2020-08-30,UCeohrwR6-fO1EMk8FkJrlzw,i6cQ5Pqqa3k,Experts discuss COVID-19 at Johns Hopkins Carey Business School,2020-02-21T01:45:24Z,61521,253,49,0,3691.0,Johns Hopkins University,32800,Unknown,https://www.youtube.com/watch?v=i6cQ5Pqqa3k
3,2019-12-01-2020-08-30,UCeohrwR6-fO1EMk8FkJrlzw,0JR9qhz2eMw,Professor Lauren Gardner Discusses How the COVID-19 Dashboard is Built and Maintained,2020-03-13T18:53:37Z,24064,249,32,0,639.0,Johns Hopkins University,32800,Unknown,https://www.youtube.com/watch?v=0JR9qhz2eMw
4,2019-12-01-2020-08-30,UCeohrwR6-fO1EMk8FkJrlzw,gPWRxSfDbrI,"JHU's Daily COVID-19 Data in Motion: Aug. 5, 2020",2020-08-05T11:53:10Z,20012,N/A,N/A,0,61.0,Johns Hopkins University,32800,Unknown,https://www.youtube.com/watch?v=gPWRxSfDbrI
5,2019-12-01-2020-08-30,UCeohrwR6-fO1EMk8FkJrlzw,6kZDXeJW6BM,Johns Hopkins Launches New U.S. COVID-19 Map,2020-04-15T01:19:32Z,19104,N/A,N/A,0,1536.0,Johns Hopkins University,32800,Unknown,https://www.youtube.com/watch?v=6kZDXeJW6BM
6,2019-12-01-2020-08-30,UCeohrwR6-fO1EMk8FkJrlzw,jdyad-lZius,"JHU's Daily COVID-19 Data in Motion: Aug. 13, 2020",2020-08-13T12:18:21Z,17608,N/A,N/A,0,61.0,Johns Hopkins University,32800,Unknown,https://www.youtube.com/watch?v=jdyad-lZius
7,2019-12-01-2020-08-30,UCeohrwR6-fO1EMk8FkJrlzw,6KocDycsIZQ,"JHU's Daily COVID-19 Data in Motion: Aug. 7, 2020",2020-08-07T12:15:18Z,14710,N/A,N/A,0,61.0,Johns Hopkins University,32800,Unknown,https://www.youtube.com/watch?v=6KocDycsIZQ
8,2019-12-01-2020-08-30,UCeohrwR6-fO1EMk8FkJrlzw,noP1p5nsi_Q,"JHU's Daily COVID-19 Data in Motion: Aug. 21, 2020",2020-08-21T12:16:48Z,10252,N/A,N/A,0,61.0,Johns Hopkins University,32800,Unknown,https://www.youtube.com/watch?v=noP1p5nsi_Q
9,2019-12-01-2020-08-30,UCeohrwR6-fO1EMk8FkJrlzw,Gg05xwDO_D8,"JHU's Daily COVID-19 Data in Motion: Aug. 10, 2020",2020-08-10T12:21:34Z,10256,N/A,N/A,0,61.0,Johns Hopkins University,32800,Unknown,https://www.youtube.com/watch?v=Gg05xwDO_D8
