,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL
0,2020-03-22-2020-04-19,UC07-dOwgza1IguKA86jqxNA,1G4hDXaaTWk,Live from WHO Headquarters - coronavirus - COVID-19 daily press briefing 27 March 2020,2020-03-27T18:42:00Z,569422,2994,722,951,3142.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=1G4hDXaaTWk
1,2020-03-22-2020-04-19,UC07-dOwgza1IguKA86jqxNA,2v3vlw14NbM,Live from WHO Headquarters - coronavirus - COVID-19 daily press briefing 30 March 2020,2020-03-30T16:35:08Z,348330,1814,1147,1122,3913.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=2v3vlw14NbM
2,2020-03-22-2020-04-19,UC07-dOwgza1IguKA86jqxNA,_vprQpLAIXg,Live from WHO Headquarters - COVID-19 daily press briefing 23 March 2020,2020-03-23T17:32:33Z,338495,3954,338,617,4203.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=_vprQpLAIXg
3,2020-03-22-2020-04-19,UC07-dOwgza1IguKA86jqxNA,eh5hTTRd2Zs,Live from WHO Headquarters - coronavirus - COVID-19 daily press briefing 03April 2020,2020-04-03T17:41:15Z,260636,1302,1011,1009,4078.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=eh5hTTRd2Zs
4,2020-03-22-2020-04-19,UC07-dOwgza1IguKA86jqxNA,i4us_py7GUw,Live from WHO Headquarters - coronavirus - COVID-19 daily press briefing 25 March 2020,2020-03-25T19:28:04Z,259677,2677,370,604,3660.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=i4us_py7GUw
5,2020-03-22-2020-04-19,UC07-dOwgza1IguKA86jqxNA,k1nf8kk7aHc,Live from WHO Headquarters - coronavirus - COVID-19 daily press briefing 08 April 2020,2020-04-08T21:44:15Z,257873,5888,3918,10204,3495.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=k1nf8kk7aHc
6,2020-03-22-2020-04-19,UC07-dOwgza1IguKA86jqxNA,7i1ipJoG7mE,Live from WHO Headquarters - coronavirus - COVID-19 daily press briefing 06April 2020,2020-04-06T16:57:55Z,221207,937,773,545,3562.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=7i1ipJoG7mE
7,2020-03-22-2020-04-19,UC07-dOwgza1IguKA86jqxNA,AyV0F9kViRA,Live from WHO Headquarters - coronavirus - COVID-19 daily press briefing 10 April 2020,2020-04-11T04:36:12Z,132480,859,1416,1003,3702.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=AyV0F9kViRA
8,2020-03-22-2020-04-19,UC07-dOwgza1IguKA86jqxNA,60xrWlw0VkQ,Live from WHO Headquarters - COVID-19 daily press briefing 15 April 2020,2020-04-16T04:24:52Z,123793,816,1049,756,3786.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=60xrWlw0VkQ
9,2020-03-22-2020-04-19,UC07-dOwgza1IguKA86jqxNA,NCy-qvcDDl4,Live from WHO Headquarters - coronavirus - COVID-19 daily press briefing 13 April 2020,2020-04-14T04:21:13Z,122877,798,835,744,3571.0,World Health Organization (WHO),620000,Unknown,https://www.youtube.com/watch?v=NCy-qvcDDl4
