,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL
0,2021-07-04-2021-07-11,UCL44DUHxm_iUrPS2kS0881A,Mxl4YxtyPh8,How you can Donate to Covid Relief Fund Using UPI | Zimmedar Raho UPI Karo | UPI Chalega,2021-07-08T10:45:57Z,11495751,136,96,2,45,UPI Chalega,20700,Unknown,https://www.youtube.com/watch?v=Mxl4YxtyPh8
1,2021-07-04-2021-07-11,UCIvaYmXn910QMdemBG3v1pQ,_Lx0yyyemcg,Coronavirus Third Wave: saavdhaan! akttuubr meN tiisrii lhr | Delta Plus | Latest Update | COVID 19 India,2021-07-04T08:37:17Z,3242345,24373,6276,2477,1007,Zee News,21300000,IN,https://www.youtube.com/watch?v=_Lx0yyyemcg
2,2021-07-04-2021-07-11,UCLXo7UDZvByw2ixzpQCufnA,0fhaEIlGux4,"How Taiwan held off Covid-19, until it didn&#39;t",2021-07-06T12:00:01Z,2866314,73119,3952,6519,581,Vox,10100000,US,https://www.youtube.com/watch?v=0fhaEIlGux4
3,2021-07-04-2021-07-11,UCIvaYmXn910QMdemBG3v1pQ,lao4HGOHEKw,DNA: koronaa vaiksiin lgvaane kaa shii triikaa kyaa hai? | Corona Vaccination | COVID-19 | Blood Clotting,2021-07-05T16:55:35Z,1753611,23879,2480,971,529,Zee News,21300000,IN,https://www.youtube.com/watch?v=lao4HGOHEKw
4,2021-07-04-2021-07-11,UC0p5jTq6Xx_DosDFxVXnWaQ,pFaGbtDJFwA,Covid-19: why your life will never be the same again | The Economist,2021-07-08T14:00:32Z,1719782,21514,3999,3434,574,The Economist,2180000,GB,https://www.youtube.com/watch?v=pFaGbtDJFwA
5,2021-07-04-2021-07-11,UCtWAwL3FCS2pJfrReX9CCrQ,8tiGu2uAMs4,Wayne County COVID Vaccine PSA 3,2021-07-07T14:04:45Z,822839,4,1,1,16,Wayne County Executive Warren C. Evans,153,US,https://www.youtube.com/watch?v=8tiGu2uAMs4
6,2021-07-04-2021-07-11,UCTJpJk8bqQQEqeX58z8eimA,BQ4_Q2Gic5M,#COVID Vaccine Is Safe In Pregnancy,2021-07-10T04:37:59Z,710459,N/A,N/A,44,61,MyGov India,598000,IN,https://www.youtube.com/watch?v=BQ4_Q2Gic5M
7,2021-07-04-2021-07-11,UCrp_UI8XtuYfpiqluWLD7Lw,JhqJI-vQeKY,Pfizer developing Covid-19 vaccine booster targeting Delta variant,2021-07-08T21:22:47Z,666611,2802,6482,4700,195,CNBC Television,1840000,US,https://www.youtube.com/watch?v=JhqJI-vQeKY
8,2021-07-04-2021-07-11,UC3prwMn9aU2z5Y158ZdGyyA,4cSNrLuVwbs,"After Black Fungus, now 'Bone Death' Scare Emerges: New Post Covid Complication Explained",2021-07-07T10:00:37Z,635436,5872,514,2330,311,CRUX,1030000,IN,https://www.youtube.com/watch?v=4cSNrLuVwbs
9,2021-07-04-2021-07-11,UCSwXe2WReWhNdjKRTh92b9g,xxSf3rN9gQE,MUERE NINO de 13 ANOS despues de VACUNARSE contra el COVID,2021-07-05T15:16:36Z,455119,10271,1686,5520,631,Dr. Veller,1020000,AR,https://www.youtube.com/watch?v=xxSf3rN9gQE
10,2021-07-04-2021-07-11,UCknLrEdhRCp1aegoMqRaCZg,6OhW93fygns,How effective are vaccinations against the new COVID variants? | COVID-19 Special,2021-07-07T13:22:11Z,445591,3956,753,1959,726,DW News,2960000,DE,https://www.youtube.com/watch?v=6OhW93fygns
11,2021-07-04-2021-07-11,UCknLrEdhRCp1aegoMqRaCZg,RYqwd4-En9o,Football EURO 2020: A win for COVID? COVID-19 Special,2021-07-09T15:52:05Z,387194,2400,445,1620,705,DW News,2960000,DE,https://www.youtube.com/watch?v=RYqwd4-En9o
12,2021-07-04-2021-07-11,UCrtd2wePvAl6RN_D-9jWVQQ,721WMC5pZ5A,COVID-19 Causes Long-Term Blood Cell Changes,2021-07-09T01:36:51Z,355606,12175,354,2781,2031,Drbeen Medical Lectures,476000,US,https://www.youtube.com/watch?v=721WMC5pZ5A
13,2021-07-04-2021-07-11,UCknLrEdhRCp1aegoMqRaCZg,sz4uYqVxQss,Delta variant fuels new COVID surge in Israel | DW News,2021-07-05T09:09:20Z,330180,2647,655,1949,450,DW News,2960000,DE,https://www.youtube.com/watch?v=sz4uYqVxQss
14,2021-07-04-2021-07-11,UCfyZxoiX7Lz_-_a3TpSC1Eg,v97ZIKsyPl0,Como afecta la COVID 19 al organismo,2021-07-09T12:42:49Z,305576,6712,212,369,243,Nucleus Health Videos - Español,439000,US,https://www.youtube.com/watch?v=v97ZIKsyPl0
15,2021-07-04-2021-07-11,UCbxb2fqe9oNgglAoYqsYOtQ,Nix9rXsqKXU,Coronavirus Vaccines in Germany | Easy German 407,2021-07-04T17:00:24Z,271623,8118,560,1417,804,Easy German: Learn German From the Streets!,1170000,DE,https://www.youtube.com/watch?v=Nix9rXsqKXU
16,2021-07-04-2021-07-11,UCCj956IF62FbT7Gouszaj9w,zjtlAGLqeGQ,Boris Johnson gives update on end of Covid restrictions  @BBC News live  BBC,2021-07-05T16:44:16Z,215755,1137,642,1766,2191,BBC,12000000,GB,https://www.youtube.com/watch?v=zjtlAGLqeGQ
17,2021-07-04-2021-07-11,UCtWAwL3FCS2pJfrReX9CCrQ,SER6aFUuEf8,Wayne County COVID Vaccine PSA 1,2021-07-07T13:58:57Z,187870,10,2,0,31,Wayne County Executive Warren C. Evans,153,US,https://www.youtube.com/watch?v=SER6aFUuEf8
18,2021-07-04-2021-07-11,UCx5e1u7BX0aKwEj3sdYXdXg,o3ZEz7iYpwk,Link Your Passport With Your COVID-19 Vaccine Certificate: Full Guide,2021-07-05T12:35:51Z,179899,1987,145,271,185,Gadgets 360,697000,IN,https://www.youtube.com/watch?v=o3ZEz7iYpwk
19,2021-07-04-2021-07-11,UCknLrEdhRCp1aegoMqRaCZg,LKfnYuJFGtw,How &#39;Long COVID&#39; patients in India are struggling with the disease | DW News,2021-07-09T08:05:07Z,148172,1481,184,648,425,DW News,2960000,DE,https://www.youtube.com/watch?v=LKfnYuJFGtw
20,2021-07-04-2021-07-11,UC_gUM8rL-Lrg6O3adPW9K1g,ImeV1Sxmu8s,COVID-19: Vaccinated women report changes in menstrual cycle | UK Coronavirus | Latest English News,2021-07-08T19:05:16Z,138676,1274,178,774,172,WION,4050000,IN,https://www.youtube.com/watch?v=ImeV1Sxmu8s
21,2021-07-04-2021-07-11,UC_0lpkjU3pdAJAnzgxXF99A,UtQmOWMzkzs,How to Prepare the COVID-19 Pfizer-BioNTech Vaccine [Adult Dosage],2021-07-05T13:42:20Z,124608,1005,107,161,664,UofTPharmacy,1140,Unknown,https://www.youtube.com/watch?v=UtQmOWMzkzs
22,2021-07-04-2021-07-11,UC1ObaaFz4XHVPN2T5IFsU4w,-yOhyxhPvhw,Ils hesitent a se faire vacciner contre le Covid : quels sont leurs arguments ?,2021-07-08T07:07:55Z,102234,898,539,2556,219,L'Obs,232000,FR,https://www.youtube.com/watch?v=-yOhyxhPvhw
23,2021-07-04-2021-07-11,UCHPzpxcYhxkb0fMJKeSe66g,it2XlR3Iclo,"Tin The Gioi Moi Nhat: Quoc Gia Tan Hoang Vi COVID-19,  Tho Dong Quan Tai Khong Duoc Nghi Tay | TGN",2021-07-05T12:00:16Z,90362,395,48,71,1071,THẾ GIỚI NGHIÊNG,3870000,VN,https://www.youtube.com/watch?v=it2XlR3Iclo
24,2021-07-04-2021-07-11,UCYPvAwZP8pZhSMW8qs7cVCw,yOB2orDTAxE,COVID-19: How Wrong Injection Technique is Causing Blood Clots after Vaccination | NewsMo,2021-07-09T16:31:03Z,80307,493,47,126,198,India Today,5260000,IN,https://www.youtube.com/watch?v=yOB2orDTAxE
25,2021-07-04-2021-07-11,UCHPzpxcYhxkb0fMJKeSe66g,AcwRooAM0K0,"Chau A Dong Loat Vo Tran Vi Covid-19, So Ca Tu Vong Tang Chong Mat | Tin Tuc Dich Covid-19 | TGN",2021-07-09T11:36:35Z,68354,324,69,58,786,THẾ GIỚI NGHIÊNG,3870000,VN,https://www.youtube.com/watch?v=AcwRooAM0K0
26,2021-07-04-2021-07-11,UCrp_UI8XtuYfpiqluWLD7Lw,ixL0ISn7U2c,Pfizer to ask for emergency use authorization for third Covid-19 shot,2021-07-08T23:32:13Z,57344,269,1512,678,212,CNBC Television,1840000,US,https://www.youtube.com/watch?v=ixL0ISn7U2c
27,2021-07-04-2021-07-11,UChDKyKQ59fYz3JO2fl0Z6sg,tTRpb1vawzE,COVID-19 Vaccines And Mammogram False Positives: What To Know,2021-07-07T14:30:07Z,51002,241,1742,621,397,TODAY,3250000,Unknown,https://www.youtube.com/watch?v=tTRpb1vawzE
28,2021-07-04-2021-07-11,UC83jt4dlz1Gjl58fzQrrKZg,sag6f-kLTeI,COVID-19: Vietnam&#39;s Ho Chi Minh City begins 2-week lockdown,2021-07-09T12:45:12Z,48064,233,23,153,168,CNA,1620000,SG,https://www.youtube.com/watch?v=sag6f-kLTeI
